S.No.,Location,Pincode,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
1,Adugodi,560030,12.9428472,77.6104155,1.0,Indian Restaurant,Lounge,Dessert Shop,Café,Coffee Shop,Juice Bar,Multiplex,Bookstore,Donut Shop,Brewery
5,Amruthahalli,560092,13.0665131,77.5966238,1.0,Indian Restaurant,Bus Station,Hotel,Pizza Place,Brewery,Ice Cream Shop,Bubble Tea Shop,Fast Food Restaurant,Chinese Restaurant,Department Store
6,Anandnagar,560024,13.033377,77.5895227,1.0,Indian Restaurant,Tennis Court,Breakfast Spot,Park,Snack Place,Motorcycle Shop,Café,Fast Food Restaurant,Pizza Place,Coffee Shop
7,Anekal,562106,12.799122,77.68060437921741,0.0,ATM,Flower Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant,Electronics Store
9,Arabic College,560045,13.0300088,77.6208657,0.0,Department Store,Shopping Mall,Pizza Place,North Indian Restaurant,Optical Shop,Indian Restaurant,Pool Hall,Dumpling Restaurant,Dive Bar,Donut Shop
10,Aranya Bhavan,560003,13.01061485,77.57081951019086,1.0,Ice Cream Shop,Indian Restaurant,Coffee Shop,Fast Food Restaurant,Vegetarian / Vegan Restaurant,South Indian Restaurant,Café,Department Store,Yoga Studio,Playground
11,Ashoknagar,560050,12.9791198,77.5912997,1.0,Indian Restaurant,Hotel,Lounge,Italian Restaurant,Coffee Shop,Café,Mexican Restaurant,Intersection,Park,Metro Station
12,Attibele,562107,12.7782588,77.7712834,1.0,ATM,Castle,South Indian Restaurant,Indian Restaurant,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,English Restaurant,Event Space
13,Attur,560064,13.0994536,77.5680336,3.0,Indian Restaurant,Bus Station,Snack Place,Yoga Studio,Donut Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space
14,Austin Town,560047,12.9612736,77.6152935,1.0,Indian Restaurant,Tea Room,Hotel,Shopping Mall,Market,Middle Eastern Restaurant,Soccer Stadium,Donut Shop,Café,Italian Restaurant
15,Avalahalli,560026,13.0352777,77.7365655,0.0,Breakfast Spot,Lake,Athletics & Sports,Yoga Studio,Dry Cleaner,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market
17,Avenue Road,560002,12.9684724,77.5789181,1.0,Indian Restaurant,Theater,Historic Site,Platform,Dessert Shop,Rajasthani Restaurant,Rest Area,Restaurant,Miscellaneous Shop,Seafood Restaurant
19,Bagalgunte,560073,13.0566493,77.5048222,0.0,Pizza Place,Bakery,Restaurant,Convenience Store,Cosmetics Shop,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
20,Bagalur,562149,13.1331868,77.6687093,0.0,Memorial Site,Food Truck,Yoga Studio,Donut Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
21,Banashankari,560050,12.9152208,77.573598,1.0,Indian Restaurant,Café,Bakery,Diner,Breakfast Spot,Fast Food Restaurant,Park,South Indian Restaurant,Bus Stop,Karnataka Restaurant
22,Banashankari III Stage,560085,12.9401275,77.5508062,1.0,Coffee Shop,Vegetarian / Vegan Restaurant,Breakfast Spot,Café,Indian Restaurant,Smoke Shop,Hotel,Park,Coworking Space,Dry Cleaner
23,Banaswadi,560043,13.0141618,77.6518539,1.0,Indian Restaurant,Kerala Restaurant,Café,Department Store,Bus Station,Chinese Restaurant,Bistro,Arts & Crafts Store,Convenience Store,Pizza Place
25,Bangalore,560001,12.9791198,77.5912997,1.0,Indian Restaurant,Hotel,Lounge,Italian Restaurant,Coffee Shop,Café,Mexican Restaurant,Intersection,Park,Metro Station
27,Bangalore City,560002,12.9791198,77.5912997,1.0,Indian Restaurant,Hotel,Lounge,Italian Restaurant,Coffee Shop,Café,Mexican Restaurant,Intersection,Park,Metro Station
28,Bangalore Corporation Building,560002,12.9547553,77.5923087,1.0,Indian Restaurant,Coffee Shop,Café,Botanical Garden,Japanese Restaurant,Vegetarian / Vegan Restaurant,Park,Other Nightlife,Middle Eastern Restaurant,Movie Theater
30,Bangalore Fort,560002,12.962940849999999,77.57575988493524,1.0,Indian Restaurant,Theater,Flower Shop,Historic Site,Miscellaneous Shop,Market,South Indian Restaurant,Plaza,General Entertainment,Eastern European Restaurant
32,Bannerghatta Road,560076,12.8264929,77.5864733,2.0,Resort,Yoga Studio,Diner,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
34,Basavanagudi,560004,12.9417261,77.5755021,1.0,Indian Restaurant,Fast Food Restaurant,Sandwich Place,Ice Cream Shop,Café,Park,Juice Bar,Restaurant,Snack Place,Tea Room
36,Basaveshwaranagar,560079,12.9937572,77.5391325,1.0,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Snack Place,Bus Station,Pizza Place,Café,Chinese Restaurant,Juice Bar,Asian Restaurant
38,Bellandur,560103,12.9791198,77.5912997,1.0,Indian Restaurant,Hotel,Lounge,Italian Restaurant,Coffee Shop,Café,Mexican Restaurant,Intersection,Park,Metro Station
39,Benson Town,560046,12.997803,77.6041749,1.0,Ice Cream Shop,Tea Room,Café,Indian Restaurant,Chinese Restaurant,Event Space,Bookstore,Snack Place,Electronics Store,Food Truck
43,Bhattarahalli,560049,13.0258004,77.714279,1.0,Café,Hotel,Pizza Place,Indian Restaurant,Event Service,Electronics Store,Donut Shop,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
44,Bidaraguppe,562107,12.8060574,77.7862873,0.0,Pharmacy,Dry Cleaner,Flower Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
47,Bommanahalli,560068,12.9089453,77.6239038,1.0,Indian Restaurant,South Indian Restaurant,Tea Room,Bus Station,Auto Garage,Chettinad Restaurant,Café,Vegetarian / Vegan Restaurant,Clothing Store,Coffee Shop
48,Brigade Road,560001,12.9736132,77.6074716,1.0,Indian Restaurant,Hotel,Café,Clothing Store,Lounge,Bar,Brewery,Pub,Chinese Restaurant,Ice Cream Shop
50,Byatarayanapura,560092,13.062073550000001,77.59639164365345,1.0,Indian Restaurant,Hotel,Ice Cream Shop,Department Store,Brewery,Coffee Shop,Bus Station,Chinese Restaurant,Italian Restaurant,Fast Food Restaurant
50,Byatarayanapura,560092,13.062073550000001,77.59639164365345,1.0,Indian Restaurant,Hotel,Ice Cream Shop,Department Store,Brewery,Coffee Shop,Bus Station,Chinese Restaurant,Italian Restaurant,Fast Food Restaurant
52,C.V.Raman Nagar,560093,12.9856478,77.6649767,1.0,Indian Restaurant,Department Store,Café,Fast Food Restaurant,Coffee Shop,Clothing Store,Shopping Mall,Food Court,Snack Place,Smoke Shop
54,Chamrajpet,560018,12.9569966,77.5633682,1.0,Indian Restaurant,Department Store,Coffee Shop,Café,Fast Food Restaurant,Breakfast Spot,Big Box Store,Sporting Goods Shop,Movie Theater,Multiplex
57,Chickpet,560053,12.9680027,77.578642,1.0,Indian Restaurant,Theater,Market,Historic Site,Platform,Dessert Shop,Rajasthani Restaurant,Rest Area,Restaurant,Miscellaneous Shop
58,Chikkabettahalli,560097,13.0895251,77.5563629,0.0,ATM,Bus Station,Fast Food Restaurant,Pharmacy,Warehouse Store,Convenience Store,Cosmetics Shop,Financial or Legal Service,Field,Construction & Landscaping
59,Chikkajala,562157,13.1715801,77.6345704,0.0,Hotel,Fast Food Restaurant,Bike Shop,Café,Coworking Space,Dry Cleaner,Financial or Legal Service,Field,Convenience Store,Cosmetics Shop
60,Chikkalasandra,560061,12.9121916,77.5476337,0.0,Department Store,Café,Indian Restaurant,Bus Station,Sports Bar,Bakery,Restaurant,Paintball Field,Pizza Place,Event Service
62,Chunchanakuppe,562130,12.9095576,77.386642,3.0,Park,Indian Restaurant,Yoga Studio,Dive Bar,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
63,CMP Centre And School,560025,12.95825135,77.60912220089108,1.0,Indian Restaurant,Bakery,Hotel,Tea Room,Italian Restaurant,BBQ Joint,Pub,Juice Bar,Mobile Phone Shop,Clothing Store
64,CRPF Campus Yelahanka,560064,13.1214191,77.57086432354477,0.0,ATM,Restaurant,Department Store,Coffee Shop,Airport Terminal,Donut Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant
68,Deepanjalinagar,560026,12.95062355,77.53655376999247,1.0,Indian Restaurant,Metro Station,Nightclub,Bus Station,Department Store,Train Station,Breakfast Spot,Event Space,Farmers Market,Event Service
71,Devasandra,560036,12.7572271,77.6472795,4.0,Henan Restaurant,Yoga Studio,Diner,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
72,Dharmaram College,560029,12.9338349,77.60421851377467,1.0,Indian Restaurant,Café,Pizza Place,Multiplex,Fast Food Restaurant,Clothing Store,Donut Shop,Department Store,Coffee Shop,Sandwich Place
74,Doddajala,562157,13.1767348,77.6520502,0.0,Hotel,Mountain,Resort,Dive Bar,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
75,Doddakallasandra,560062,12.8857355,77.5557448,0.0,Bus Station,Indie Movie Theater,South Indian Restaurant,Arts & Entertainment,Tennis Court,English Restaurant,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
76,Doddanekkundi,560037,12.9793573,77.6946688,0.0,Department Store,Coffee Shop,Sandwich Place,Indian Restaurant,Café,BBQ Joint,Breakfast Spot,Mediterranean Restaurant,Fast Food Restaurant,Burrito Place
77,Domlur,560071,12.9624669,77.6381958,1.0,Indian Restaurant,Café,Italian Restaurant,Pub,Coffee Shop,Hotel,Restaurant,Lounge,Pizza Place,Sports Bar
78,Dommasandra,562125,12.8777098,77.7534769,0.0,Bakery,Dry Cleaner,Hobby Shop,Supermarket,Athletics & Sports,Bus Station,Optical Shop,Eastern European Restaurant,Dumpling Restaurant,Yoga Studio
