S.No.,Location,Pincode,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
2,Adambakkam,600088,12.9822215,80.209121,3.0,Indian Restaurant,Pizza Place,Dessert Shop,Yoga Studio,Fast Food Restaurant,Food Truck,Food Court,Food & Drink Shop,Food,Flower Shop
3,Adyar,600020,13.00645,80.2577791,3.0,Indian Restaurant,Café,Pizza Place,Department Store,Fast Food Restaurant,North Indian Restaurant,Electronics Store,Juice Bar,Rock Club,Ice Cream Shop
4,Agaram,600082,13.1158603,80.2300407,0.0,Multiplex,Pizza Place,Department Store,Light Rail Station,Shopping Mall,Train Station,Train,Farmers Market,Food & Drink Shop,Food
5,Alandur,600016,12.9943729,80.1942837,3.0,Indian Restaurant,Pizza Place,Breakfast Spot,Café,Train Station,Hotel,Asian Restaurant,South Indian Restaurant,Metro Station,Bakery
6,Alandur North,600032,12.9943729,80.1942837,3.0,Indian Restaurant,Pizza Place,Breakfast Spot,Café,Train Station,Hotel,Asian Restaurant,South Indian Restaurant,Metro Station,Bakery
9,Ambattur H O,600053,13.1139774,80.1529202,4.0,Movie Theater,Ice Cream Shop,Multiplex,Flea Market,River,Fast Food Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
11,Ambattur West,600053,13.1193746,80.1507648,4.0,Ice Cream Shop,Movie Theater,Indian Restaurant,Department Store,Multiplex,Flea Market,Asian Restaurant,Yoga Studio,Field,Food Truck
13,Anakaputhur,600070,12.9838095,80.1688264,0.0,Airport,Café,Metro Station,Airport Terminal,Fast Food Restaurant,Business Service,Pub,Multiplex,Bookstore,Rental Car Location
15,Anna Road H O,600002,13.1207974,80.0948305,3.0,Indian Restaurant,Department Store,Movie Theater,Train Station,Fast Food Restaurant,Frozen Yogurt Shop,Food Truck,Food Court,Food & Drink Shop,Food
21,Arcot Road,600024,13.0499473,80.21188,3.0,Indian Restaurant,Hotel,Multiplex,Clothing Store,Asian Restaurant,Coffee Shop,South Indian Restaurant,Fast Food Restaurant,Pizza Place,Music Store
22,Arumbakkam,600106,13.074371,80.2081312,3.0,Fast Food Restaurant,Indian Restaurant,Vegetarian / Vegan Restaurant,Ice Cream Shop,Hotel,Sandwich Place,BBQ Joint,Food Court,Men's Store,Shopping Mall
23,Ashok Nagar,600083,13.0400731,80.2159247,3.0,Indian Restaurant,Pizza Place,Department Store,Bakery,Yoga Studio,Sculpture Garden,Sandwich Place,Café,Chinese Restaurant,Coffee Shop
25,Avadi,600054,13.1254758,80.09409,1.0,ATM,Jewelry Store,Vegetarian / Vegan Restaurant,Department Store,Rental Service,Fast Food Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
29,Ayanavaram,600023,13.0946157,80.23541,0.0,Indie Movie Theater,Music Venue,Bakery,Tennis Court,Well,Deli / Bodega,Department Store,Food Truck,Food Court,Food & Drink Shop
31,Besant Nagar,600090,12.9996907,80.2682259,3.0,Indian Restaurant,Ice Cream Shop,Café,Coffee Shop,Dessert Shop,South Indian Restaurant,Bistro,Sandwich Place,Italian Restaurant,New American Restaurant
34,Broadway,600108,13.0962367,80.2864133,3.0,Food Truck,Indian Restaurant,Video Store,Train Station,Market,Yoga Studio,Fast Food Restaurant,Food Court,Food & Drink Shop,Food
38,Cathedral,600006,13.0518669,80.25307675773865,3.0,Indian Restaurant,Café,Hotel,Chinese Restaurant,Multiplex,Sandwich Place,Juice Bar,Coffee Shop,Lounge,Middle Eastern Restaurant
39,Cemetry Road,600021,13.1091962,80.2861039,2.0,Train Station,Spa,Indian Restaurant,Ice Cream Shop,Department Store,Bakery,Fast Food Restaurant,Food Truck,Food Court,Food & Drink Shop
41,Central Leather Research,600020,13.00901045,80.24402541888409,3.0,Indian Restaurant,Chinese Restaurant,Department Store,Clothing Store,Ice Cream Shop,Pizza Place,Dessert Shop,Pet Store,Park,State / Provincial Park
42,Central Station,600003,13.0801721,80.2838331,0.0,Market,Bus Station,Bookstore,Train Station,Museum,Hotel,Electronics Store,Campground,Harbor / Marina,Yoga Studio
45,Chamiers Road,600018,13.0317092,80.2411957,3.0,Indian Restaurant,Hotel,Restaurant,Italian Restaurant,Lounge,Department Store,Pizza Place,Park,South Indian Restaurant,Pub
46,Chepauk,600005,13.06363,80.2812779,3.0,Indian Restaurant,Memorial Site,Middle Eastern Restaurant,Hotel,Beach,Sports Club,Light Rail Station,Platform,Train Station,Vegetarian / Vegan Restaurant
50,Chitlapakkam,600064,12.9330984,80.1413832,3.0,Clothing Store,Lake,Food & Drink Shop,Grocery Store,Fast Food Restaurant,Burger Joint,Movie Theater,Indian Restaurant,Dog Run,Flea Market
51,Choolai,600112,13.0906283,80.2621417,3.0,Indian Restaurant,Department Store,Pizza Place,Diner,Hotel,Yoga Studio,Fast Food Restaurant,Food Truck,Food Court,Food & Drink Shop
52,Choolaimedu,600094,13.0623344,80.2254012,0.0,Train Station,Burger Joint,Chinese Restaurant,Mobile Phone Shop,Gym,Fruit & Vegetable Store,Bakery,Pizza Place,Ice Cream Shop,Department Store
54,Christian College,600059,13.069374100000001,80.24879939435529,3.0,Indian Restaurant,Café,Ice Cream Shop,Coffee Shop,Asian Restaurant,Hotel,Theater,Sandwich Place,Chinese Restaurant,Shopping Mall
55,Chromepet,600044,12.9496841,80.135642,3.0,Indian Restaurant,Clothing Store,Asian Restaurant,Ice Cream Shop,Pizza Place,Bus Station,Movie Theater,Fast Food Restaurant,Field,Food Truck
62,Egmore,600008,13.0728321,80.2576906,3.0,Indian Restaurant,Hotel,Café,Shopping Mall,Pizza Place,Seafood Restaurant,Farmers Market,Motel,Bowling Alley,Sandwich Place
63,Egmore High Road,600008,13.0748081,80.2538007,3.0,Indian Restaurant,Hotel,Shopping Mall,South Indian Restaurant,Café,Pizza Place,Seafood Restaurant,Italian Restaurant,Fast Food Restaurant,Farmers Market
65,Eldams Road,600018,13.0386581,80.2525054,3.0,Indian Restaurant,Hotel,Lounge,Italian Restaurant,Café,Pizza Place,Restaurant,Chinese Restaurant,Juice Bar,Japanese Restaurant
