Cluster Labels,S.No.,Location,Pincode,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,3,Adyar,600020,13.00645,80.2577791,Indian Restaurant,Café,Pizza Place,Department Store,Fast Food Restaurant,North Indian Restaurant,Electronics Store,Juice Bar,Rock Club,Ice Cream Shop
0,23,Ashok Nagar,600083,13.0400731,80.2159247,Indian Restaurant,Pizza Place,Department Store,Bakery,Yoga Studio,Sculpture Garden,Sandwich Place,Café,Chinese Restaurant,Coffee Shop
2,112,Kodambakkam,600024,13.049207,80.2242829,Jewelry Store,Juice Bar,Bakery,Yoga Studio,Lounge,Department Store,Park,Electronics Store,Fast Food Restaurant,Chinese Restaurant
2,113,Kodambakkam West,600024,13.049207,80.2242829,Jewelry Store,Juice Bar,Bakery,Yoga Studio,Lounge,Department Store,Park,Electronics Store,Fast Food Restaurant,Chinese Restaurant
0,144,Mambalam East,600033,13.0380662,80.2277752,Indian Restaurant,Clothing Store,Jewelry Store,Women's Store,Park,Snack Place,South Indian Restaurant,Boutique,Italian Restaurant,Miscellaneous Shop
0,145,Mambalam R S,600033,13.0380662,80.2277752,Indian Restaurant,Clothing Store,Jewelry Store,Women's Store,Park,Snack Place,South Indian Restaurant,Boutique,Italian Restaurant,Miscellaneous Shop
2,280,Velacheri,600042,12.9879107,80.2231951,Pizza Place,Indian Restaurant,Vegetarian / Vegan Restaurant,Clothing Store,Sandwich Place,Café,Coffee Shop,Chinese Restaurant,Fast Food Restaurant,Multiplex
0,296,West Mambalam,600033,13.0427322,80.2270781,Clothing Store,Indian Restaurant,Jewelry Store,South Indian Restaurant,BBQ Joint,Café,Department Store,Convenience Store,Electronics Store,Boutique
3,15,Avalahalli,560026,13.0352777,77.7365655,Breakfast Spot,Lake,Athletics & Sports,Yoga Studio,Dry Cleaner,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market
2,43,Bhattarahalli,560049,13.0258004,77.714279,Café,Hotel,Pizza Place,Indian Restaurant,Event Service,Electronics Store,Donut Shop,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
0,52,C.V.Raman Nagar,560093,12.9856478,77.6649767,Indian Restaurant,Department Store,Café,Fast Food Restaurant,Coffee Shop,Clothing Store,Shopping Mall,Food Court,Snack Place,Smoke Shop
2,76,Doddanekkundi,560037,12.9793573,77.6946688,Department Store,Coffee Shop,Sandwich Place,Indian Restaurant,Café,BBQ Joint,Breakfast Spot,Mediterranean Restaurant,Fast Food Restaurant,Burrito Place
2,93,H M T,560013,13.0194939,77.7660515,Department Store,Shopping Plaza,Fast Food Restaurant,Ice Cream Shop,Indian Restaurant,Asian Restaurant,Restaurant,Electronics Store,Dry Cleaner,Dumpling Restaurant
0,104,Hoodi,560048,12.9919033,77.7162015,Indian Restaurant,Hotel,Coffee Shop,Diner,Cocktail Bar,Soccer Field,Platform,Brewery,Japanese Restaurant,English Restaurant
2,117,Industrial Estate,560010,12.9908787,77.70512615869652,Indian Restaurant,Gym,Sporting Goods Shop,Bakery,Breakfast Spot,Auto Workshop,Office,Grocery Store,Café,Performing Arts Venue
2,143,Kadugodi,560067,12.9985767,77.7609716,Hotel,Train Station,Pizza Place,Bus Station,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,English Restaurant,Event Service
4,161,Krishnarajapuram,560036,13.0005089,77.6753945,ATM,Bus Station,Fast Food Restaurant,Mattress Store,Indian Restaurant,Donut Shop,Financial or Legal Service,Field,Farmers Market,Event Space
