S.No.,Location,Latitude,Longitude,Distance
1,Adugodi,12.9428472,77.6104155,15.40551387104159
2,Agara,12.6201123,77.4793074,48.55211814558192
5,Amruthahalli,13.0665131,77.5966238,19.767657719624058
6,Anandnagar,13.033377,77.5895227,18.75750321920574
7,Anekal,12.799122,77.68060437921741,20.30172656257821
9,Arabic College,13.0300088,77.6208657,15.494823625867657
10,Aranya Bhavan,13.01061485,77.57081951019086,19.933787840140678
11,Ashoknagar,12.9791198,77.5912997,17.222623914950994
12,Attibele,12.7782588,77.7712834,21.300680217172516
13,Attur,13.0994536,77.5680336,24.387512260471922
14,Austin Town,12.9612736,77.6152935,14.61724005905977
15,Avalahalli,13.0352777,77.7365655,7.401325871552809
17,Avenue Road,12.9684724,77.5789181,18.534833356413827
19,Bagalgunte,13.0566493,77.5048222,28.25907226569893
20,Bagalur,13.1331868,77.6687093,20.11552954434653
21,Banashankari,12.9152208,77.573598,20.039251678469917
22,Banashankari III Stage,12.9401275,77.5508062,21.83116589136804
23,Banaswadi,13.0141618,77.6518539,11.706781278762055
25,Bangalore,12.9791198,77.5912997,17.222623914950994
27,Bangalore City,12.9791198,77.5912997,17.222623914950994
28,Bangalore Corporation Building,12.9547553,77.5923087,17.161147712400986
30,Bangalore Fort,12.962940849999999,77.57575988493524,18.891782699368974
32,Bannerghatta Road,12.8264929,77.5864733,23.764741619311753
34,Basavanagudi,12.9417261,77.5755021,19.156509364499254
36,Basaveshwaranagar,12.9937572,77.5391325,23.005185344382756
38,Bellandur,12.9791198,77.5912997,17.222623914950994
39,Benson Town,12.997803,77.6041749,16.097616877828294
43,Bhattarahalli,13.0258004,77.714279,7.308237312031887
44,Bidaraguppe,12.8060574,77.7862873,18.526186420052092
47,Bommanahalli,12.9089453,77.6239038,15.216576873324009
48,Brigade Road,12.9736132,77.6074716,15.44249284701678
50,Byatarayanapura,13.062073550000001,77.59639164365345,19.527309825681307
50,Byatarayanapura,13.062073550000001,77.59639164365345,19.527309825681307
52,C.V.Raman Nagar,12.9856478,77.6649767,9.365897057718934
54,Chamrajpet,12.9569966,77.5633682,20.270275551301673
57,Chickpet,12.9680027,77.578642,18.565239578970004
58,Chikkabettahalli,13.0895251,77.5563629,24.817941326783487
59,Chikkajala,13.1715801,77.6345704,25.596074615316265
60,Chikkalasandra,12.9121916,77.5476337,22.833371862006768
61,Chikkanahalli,13.1315987,77.9027211,24.420431140009345
62,Chunchanakuppe,12.9095576,77.386642,39.95728982250892
63,CMP Centre And School,12.95825135,77.60912220089108,15.309507752472248
64,CRPF Campus Yelahanka,13.1214191,77.57086432354477,25.659567920339935
66,Dasarahalli,13.0994854,77.8361008,17.14941047313544
66,Dasarahalli,13.0994854,77.8361008,17.14941047313544
68,Deepanjalinagar,12.95062355,77.53655376999247,23.22709886236151
71,Devasandra,12.7572271,77.6472795,25.997834850536446
72,Dharmaram College,12.9338349,77.60421851377467,16.27958962169443
74,Doddajala,13.1767348,77.6520502,25.242759903637364
75,Doddakallasandra,12.8857355,77.5557448,23.00752802279526
76,Doddanekkundi,12.9793573,77.6946688,6.071516046881404
77,Domlur,12.9624669,77.6381958,12.128971269673835
78,Dommasandra,12.8777098,77.7534769,10.177897098209327
80,Dr. Ambedkar Veedhi,12.9791198,77.5912997,17.222623914950994
81,Electronics City,12.8468545,77.6769267,15.714873334462913
87,Girinagar,12.9401439,77.5444995,22.507744527855472
88,Goraguntepalya,13.0284078,77.5408961,23.571460115190543
89,Goripalya,12.9629437,77.5494998,21.73907059936494
92,Gunjur,13.4279345,77.5131493,56.81971258368887
93,H M T,13.0194939,77.7660515,5.7924996606976284
98,Handenahalli,12.958577,77.8477565,10.704454685739217
100,Hebbal Kempapura,13.0521017,77.6018107,18.459880576058275
101,Hennagara,12.7883084,77.6733345,21.706967600374504
103,Hongasandra,12.8975365,77.62807526594204,15.425202961848061
104,Hoodi,12.9919033,77.7162015,4.39455970382309
105,Horamavu,13.0273312,77.6601508,11.628046611083455
