Latitude,Longitude,Pincode,Location,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
12.7572271,77.6472795,560036,Devasandra,3.0,Henan Restaurant,Yoga Studio,Diner,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
12.7782588,77.7712834,562107,Attibele,4.0,ATM,Castle,South Indian Restaurant,Indian Restaurant,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,English Restaurant,Event Space
12.7852528,77.6380931,560105,"Jigani,Jigani",1.0,ATM,Indian Restaurant,Health Food Store,Pharmacy,History Museum,Financial or Legal Service,Fast Food Restaurant,Farmers Market,Event Space,Event Service
12.7898553,77.7514537,562107,Yadavanahalli,1.0,Diner,Hotel Bar,Resort,Restaurant,Cosmetics Shop,Dive Bar,Field,Fast Food Restaurant,Farmers Market,Event Space
12.799122,77.68060437921741,562106,Anekal,1.0,ATM,Flower Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant,Electronics Store
12.8060574,77.7862873,562107,Bidaraguppe,1.0,Pharmacy,Dry Cleaner,Flower Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
12.8188956,77.6384041,562106,Hulimangala,1.0,Pizza Place,Flower Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant,Electronics Store
12.8264929,77.5864733,560076,Bannerghatta Road,1.0,Resort,Yoga Studio,Diner,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
12.8468545,77.6769267,560100,Electronics City,1.0,Bus Stop,Café,Hyderabadi Restaurant,Coworking Space,Vegetarian / Vegan Restaurant,Diner,Basketball Court,English Restaurant,Dumpling Restaurant,Eastern European Restaurant
12.8600866,77.7861352,562125,Sarjapura,1.0,Fast Food Restaurant,Movie Theater,Supermarket,Department Store,Yoga Studio,Dive Bar,Field,Farmers Market,Event Space,Event Service
12.8684124,77.59082130918499,560076,Mount St Joseph,1.0,Café,Italian Restaurant,Multiplex,Cosmetics Shop,Bowling Alley,Fast Food Restaurant,Electronics Store,Beer Garden,Rajasthani Restaurant,Shopping Mall
12.8773486,77.6028031,560076,Hulimavu,1.0,Café,Bakery,Fast Food Restaurant,Movie Theater,Multiplex,Indian Restaurant,Ice Cream Shop,South Indian Restaurant,Clothing Store,Electronics Store
12.8777098,77.7534769,562125,Dommasandra,1.0,Bakery,Dry Cleaner,Hobby Shop,Supermarket,Athletics & Sports,Bus Station,Optical Shop,Eastern European Restaurant,Dumpling Restaurant,Yoga Studio
12.8792861,77.5697529,560062,Konanakunte,4.0,Indian Restaurant,ATM,Bus Station,Department Store,Vegetarian / Vegan Restaurant,English Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space
12.8850574,77.5415617,560061,Subramanyapura,4.0,Indian Restaurant,Café,South Indian Restaurant,Theater,Pool,Garden,Event Space,Event Service,Farmers Market,English Restaurant
12.8857355,77.5557448,560062,Doddakallasandra,1.0,Bus Station,Indie Movie Theater,South Indian Restaurant,Arts & Entertainment,Tennis Court,English Restaurant,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
12.8975365,77.62807526594204,560068,Hongasandra,4.0,Indian Restaurant,Pizza Place,Hotel Bar,Hotel Pool,Clothing Store,Bus Station,English Restaurant,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
12.897971,77.5700846,560078,Yelachenahalli,1.0,Café,Pizza Place,Department Store,Athletics & Sports,Metro Station,Motorcycle Shop,Fast Food Restaurant,Farmers Market,Event Space,Event Service
12.9072515,77.5782713,560078,"Jp Nagar Iii Phase,JP Nagar VIII phase",4.0,Indian Restaurant,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Diner,Breakfast Spot,Metro Station,Mexican Restaurant,Snack Place,Sandwich Place
12.9081487,77.5553179,560078,Kumaraswamy Layout,1.0,Fast Food Restaurant,Department Store,Indian Restaurant,Bakery,Sandwich Place,Breakfast Spot,Sports Bar,Chinese Restaurant,Burger Joint,Ice Cream Shop
12.9089453,77.6239038,560068,Bommanahalli,4.0,Indian Restaurant,South Indian Restaurant,Tea Room,Bus Station,Auto Garage,Chettinad Restaurant,Café,Vegetarian / Vegan Restaurant,Clothing Store,Coffee Shop
12.9095576,77.386642,562130,Chunchanakuppe,2.0,Park,Indian Restaurant,Yoga Studio,Dive Bar,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
12.9096941,77.5866067,560078,J P Nagar,4.0,Indian Restaurant,Fast Food Restaurant,Chinese Restaurant,Coffee Shop,Snack Place,Café,Ice Cream Shop,Women's Store,Sandwich Place,Brewery
12.9116225,77.6388622,560102,HSR Layout,4.0,Indian Restaurant,Café,Snack Place,Pizza Place,Ice Cream Shop,Department Store,Vegetarian / Vegan Restaurant,Liquor Store,Chinese Restaurant,Bistro
