Location,Pincode
A F Station Yelahanka,560063
Adugodi,560030
Agara,560034
Agram,560007
Air Force Hospital,560007
Amruthahalli,560092
Anandnagar,560024
Anekal,562106
Anekalbazar,562106
Arabic College,560045
Aranya Bhavan,560003
Ashoknagar,560050
Attibele,562107
Attur,560064
Austin Town,560047
Avalahalli,560026
Avani Sringeri Mutt,560086
Avenue Road,560002
B Sk II Stage,560070
Bagalgunte,560073
Bagalur,562149
Banashankari,560050
Banashankari III Stage,560085
Banaswadi,560043
Bandikodigehalli,562149
Bangalore,560001
Bangalore Bazaar,560001
Bangalore City,560002
Bangalore Corporation Building,560002
Bangalore Dist Offices Bldg,560009
Bangalore Fort,560002
Bangalore Sub Fgn Post,560025
Bannerghatta Road,560076
Bapujinagar,560026
Basavanagudi,560004
Basavaraja Market,560002
Basaveshwaranagar,560079
Basaveswaranagar II Stage,560086
Bellandur,560103
Benson Town,560046
Bestamaranahalli,562106
Bettahalsur,562157
Bhashyam Circle,560010
Bhattarahalli,560049
Bidaraguppe,562107
Bidrahalli,560049
Bnagalore Viswavidalaya,560056
Bommanahalli,560068
Brigade Road,560001
BSF Campus Yelahanka,560064
Byatarayanapura,560092
Byatarayanapura,560026
C.V.Raman Nagar,560093
Cahmrajendrapet,560002
Chamrajpet,560018
Chamrajpet Bazar,560018
Chandra Lay Out,560040
Chickpet,560053
Chikkabettahalli,560097
Chikkajala,562157
Chikkalasandra,560061
Chikkanahalli,562130
Chunchanakuppe,562130
CMP Centre And School,560025
CRPF Campus Yelahanka,560064
Cubban Road,560001
Dasarahalli,560050
Dasarahalli,560057
Deepanjalinagar,560026
Devanagundi,560067
Devarjeevanahalli,560045
Devasandra,560036
Dharmaram College,560029
Doddagubbi,562149
Doddajala,562157
Doddakallasandra,560062
Doddanekkundi,560037
Domlur,560071
Dommasandra,562125
Doorvaninagar,560016
Dr. Ambedkar Veedhi,560001
Electronics City,560100
Fraser Town,560005
G.K.V.K.,560065
Gaviopuram Extension,560019
Gaviopuram Guttanahalli,560019
Gayathrinagar,560021
Girinagar,560085
Goraguntepalya,560022
Goripalya,560026
Governmemnt Electric Factory,560026
Govindapalya,560013
Gunjur,560087
H M T,560013
H.A. Farm,560024
H.A.L II Stage,560008
H.K.P. Road,560051
Hampinagar,560104
Handenahalli,562125
Harogadde,562106
Hebbal Kempapura,560024
Hennagara,562106
HighCourt,560001
Hongasandra,560068
Hoodi,560048
Horamavu,560043
Hosakerehalli,560085
Hosur Road,560030
HSR Layout,560102
Hulimangala,562106
Hulimavu,560076
Hulsur Bazaar,560008
Hunasamaranahalli,562157
Immedihalli,560066
Indalavadi,562106
Indiranagar,560038
Indiranagar Com. Complex,560038
Industrial Estate,560010
ISRO Anthariksha Bhavan,560094
Ittamadu Layout,560085
J P Nagar,560078
J.C.Nagar,560006
Jakkur,560064
Jalahalli,560013
Jalahalli East,560014
Jalahalli Village,560013
Jalahalli West,560015
Jalavayuvihar,560043
Jayanagar,560041
Jayanagar West,560070
Jayangar East,560069
Jayangar III Block,560011
Jeevanahalli,560005
Jeevanbhimanagar,560066
Jigani,560105
Jigani,562106
Jp Nagar Iii Phase,560078
JP Nagar VIII phase,560706
K H B Colony,560079
K. G. Road,560009
K.P.West,560020
Kacharakanahalli,560084
Kadabagere,562130
Kadugodi,560067
Kalkunte,560067
Kalyanagar,560043
Kamagondanahalli,560015
Kamakshipalya,560079
Kannamangala,560067
Kannur,562149
Kanteeravanagar,560096
Kathriguppe,560085
Kenchanahalli,560098
Kendriya Sadan,560034
Kendriya Vihar,560064
Kodigehalli,560092
Konanakunte,560062
Koramangala,560034
Koramangala I Block,560034
Koramangala VI Bk,560095
Kothanur,560077
Krishnarajapuram,560036
Krishnarajapuram R S,560016
Kugur,562125
Kumaraswamy Layout,560078
Kumbalgodu,560074
Kundalahalli,560037
Lalbagh West,560004
Legislators Home,560001
Lingarajapuram,560084
M S R Road,560054
Madhavan Park,560011
Madivala,560068
Magadi Road,560023
Mahadevapura,560048
Mahalakshmipuram Layout,560086
Mahatma Gandhi Road,560001
Malkand Lines,560033
Mallathahalli,560056
Malleswaram,560003
Malleswaram West,560055
Mandalay Lines,560033
Marathahalli Colony,560037
Marsur,562106
Maruthi Sevanagar,560033
Mathikere,560054
Mavalli,560004
Mayasandra,562107
Medihalli,560049
Medimallasandra,560067
Mico Layout,560076
Milk Colony,560055
Mount St Joseph,560076
Msrit,560054
Mundur,560049
Museum Road,560025
Muthanallur,560099
Muthusandra,560087
Naduvathi,560067
Nagarbhavi,560072
Nagasandra,560073
Nagavara,560045
NAL,560017
Nandinilayout,560096
Narasimharaja Colony,560019
Narasimjharaja Road,560002
Narayan Pillai Street,560001
Nayandahalli,560039
Neralur,562107
New Tharaggupet,560002
