Latitude,Longitude,Pincode,Location
12.6201123,77.4793074,560034,Agara
12.6720709,77.694284,562106,Vanakanahalli
12.7572271,77.6472795,560036,Devasandra
12.7782588,77.7712834,562107,Attibele
12.7852528,77.6380931,560105,"Jigani,Jigani"
12.7883084,77.6733345,562106,Hennagara
12.7898553,77.7514537,562107,Yadavanahalli
12.799122,77.68060437921741,562106,Anekal
12.8060574,77.7862873,562107,Bidaraguppe
12.8188956,77.6384041,562106,Hulimangala
12.8264929,77.5864733,560076,Bannerghatta Road
12.8468545,77.6769267,560100,Electronics City
12.8600866,77.7861352,562125,Sarjapura
12.8684124,77.59082130918499,560076,Mount St Joseph
12.8773486,77.6028031,560076,Hulimavu
12.8777098,77.7534769,562125,Dommasandra
12.8792861,77.5697529,560062,Konanakunte
12.8850574,77.5415617,560061,Subramanyapura
12.8857355,77.5557448,560062,Doddakallasandra
12.8975365,77.62807526594204,560068,Hongasandra
12.897971,77.5700846,560078,Yelachenahalli
12.9072515,77.5782713,560078,"Jp Nagar Iii Phase,JP Nagar VIII phase"
12.9081487,77.5553179,560078,Kumaraswamy Layout
12.9089453,77.6239038,560068,Bommanahalli
12.9095576,77.386642,562130,Chunchanakuppe
12.9096941,77.5866067,560078,J P Nagar
12.9116225,77.6388622,560102,HSR Layout
12.9121916,77.5476337,560061,Chikkalasandra
12.9151131,77.6006286,560076,Mico Layout
12.9152208,77.573598,560050,Banashankari
12.92069395,77.61442100198076,560068,Madivala
12.9239878,77.5204576,560009,K. G. Road
12.925464000000002,77.62088465345457,560034,Kendriya Sadan
12.9277134,77.5514022,560085,Kathriguppe
12.928080600000001,77.63071968728623,560034,Koramangala I Block
12.928367,77.5905691,560041,Tilaknagar
12.9292731,77.5824229,560041,"Jayanagar,Jayanagar West"
12.9301881,77.5378332,560085,Hosakerehalli
12.9309732,77.5901342,560055,Milk Colony
12.93164,77.6138743,560030,Hosur Road
12.932418,77.8408056,560067,Kalkunte
12.9328504,77.6084306,560029,Taverekere
12.9338349,77.60421851377467,560029,Dharmaram College
12.9351457,77.7047541,560087,Panathur
12.936264999999999,77.58570855784478,560011,Madhavan Park
12.9401275,77.5508062,560085,Banashankari III Stage
12.9401439,77.5444995,560085,Girinagar
12.9413253,77.5212118,560039,Nayandahalli
12.9417261,77.5755021,560004,Basavanagudi
12.9428472,77.6104155,560030,Adugodi
12.9454643,77.6805505,560037,Yemalur
12.9465265,77.580016,560004,Lalbagh West
12.9489339,77.5968273,560027,Wilson Garden
12.95062355,77.53655376999247,560026,Deepanjalinagar
12.9523031,77.830108,560067,Medimallasandra
12.9528478,77.5819643,560004,Mavalli
12.95434485,77.62269547878142,560047,Viveknagar
12.9546741,77.5121724,560072,Nagarbhavi
12.9547553,77.5923087,560002,Bangalore Corporation Building
12.9558969,77.7405826,560066,Ramagondanahalli
12.9559165,77.6882298,560037,Marathahalli Colony
12.9569966,77.5633682,560018,Chamrajpet
12.95825135,77.60912220089108,560025,CMP Centre And School
12.958577,77.8477565,562125,Handenahalli
12.9612736,77.6152935,560047,Austin Town
12.9623214,77.5057232,560056,Mallathahalli
12.9624669,77.6381958,560071,Domlur
12.9626925,77.6041603,560025,Richmond Town
12.9627628,77.4745885,560056,Ullalu Upanagara
12.962940849999999,77.57575988493524,560002,Bangalore Fort
12.9629437,77.5494998,560026,Goripalya
12.963787700000001,77.65180275216737,560017,NAL
12.9680027,77.578642,560053,Chickpet
12.9681562,77.845242,560049,Medihalli
12.9684441,77.7187843,560037,Kundalahalli
12.9684724,77.5789181,560002,Avenue Road
12.9696365,77.7497448,560066,Whitefield
12.9697622,77.6053042,560025,Museum Road
12.9718886,77.54578883887129,560040,"Vijayanagar,Vijayanagar East"
12.9730154,77.6166123,560001,Mahatma Gandhi Road
12.9732913,77.6404672,560038,Indiranagar
12.9736132,77.6074716,560001,Brigade Road
12.9736956,77.6536931,560075,New Thippasandra
12.976959149999999,77.5123160731423,560045,Ramakrishna Hegde Nagar
12.97795955,77.58627810771424,560002,Sri Jayachamarajendra Road
12.9791198,77.5912997,560050,"Ashoknagar,Bangalore,Bangalore City,Bellandur,Dr. Ambedkar Veedhi,K.P.West,Shanthinagar"
12.9793573,77.6946688,560037,Doddanekkundi
12.979363,77.7907328,560067,Samethanahalli
12.979745399999999,77.59061672797948,560001,Vidhana Soudha
12.98204705,77.5642294415321,560021,Okalipuram
12.9821931,77.6083132,560001,Narayan Pillai Street
12.9823617,77.5226376,560079,Kamakshipalya
12.9856478,77.6649767,560093,C.V.Raman Nagar
12.9882338,77.554883,560010,Rajajinagar
12.9889098,77.4492453,562130,Kadabagere
12.9890242,77.4718714,560023,Magadi Road
12.9908787,77.70512615869652,560010,Industrial Estate
12.9919033,77.7162015,560048,Hoodi
12.992415999999999,77.5963467,560052,Vasanthnagar
12.9931876,77.5753419,560020,Seshadripuram
12.9934976,77.6924156,560048,Mahadevapura
12.9937572,77.5391325,560079,Basaveshwaranagar
12.9954832,77.6208684,560005,Jeevanahalli
12.9957647,77.814568,560084,Kacharakanahalli
12.997803,77.6041749,560046,Benson Town
12.9985767,77.7609716,560067,Kadugodi
12.9991087,77.579517,560003,Palace Guttahalli
13.0005089,77.6753945,560036,"Krishnarajapuram,Krishnarajapuram R S"
13.0005247,77.5496568,560010,Rajajinagar I Block
13.0026552,77.6347376,560033,Maruthi Sevanagar
13.0027353,77.5703253,560003,"Malleswaram,Malleswaram West"
13.0029165,77.5464264,560086,Mahalakshmipuram Layout
13.0077079,77.5795893,560080,Sadashivanagar
13.01061485,77.57081951019086,560003,Aranya Bhavan
13.0117678,77.6278288,560084,Lingarajapuram
13.0120218,77.6777817,560016,Ramamurthy Nagar
13.0141618,77.6518539,560043,Banaswadi
13.0152581,77.617511,560045,Venkateshapura
13.0194939,77.7660515,560013,H M T
13.0215083,77.7000989,560049,Thambuchetty Palya
13.022234699999998,77.56718324768107,560012,Science Institute
13.0251833,77.5920609,560032,R T Nagar
13.0258004,77.714279,560049,Bhattarahalli
13.0273312,77.6601508,560043,Horamavu
13.0283168,77.5129632,560058,"Peenya I Stage,Peenya II Stage"
13.0284078,77.5408961,560022,Goraguntepalya
13.0300088,77.6208657,560045,Arabic College
13.030955299999999,77.56485593968172,560054,Msrit
13.0328884,77.557374,560054,Mathikere
13.0331172,77.734857,560049,Virgonagar
13.033377,77.5895227,560024,Anandnagar
13.0352777,77.7365655,560026,Avalahalli
13.0374647,77.623602,560045,Nagavara
13.0464531,77.5483803,560013,"Jalahalli,Jalahalli East,Jalahalli Village"
13.0479497,77.5001349,560073,Nagasandra
13.0521017,77.6018107,560024,Hebbal Kempapura
13.0533332,77.5306036,560015,Jalahalli West
13.0566493,77.5048222,560073,Bagalgunte
13.0613601,77.6493895,560077,Kothanur
13.062073550000001,77.59639164365345,560092,"Byatarayanapura,Byatarayanapura"
13.0665131,77.5966238,560092,Amruthahalli
13.0766407,77.5577315,560097,Vidyaranyapura
13.0784743,77.6068938,560064,Jakkur
13.089139249999999,77.5827165877116,560106,Yelahanka Satellite Town
13.0895251,77.5563629,560097,Chikkabettahalli
13.0994536,77.5680336,560064,Attur
13.0994854,77.8361008,560050,"Dasarahalli,Dasarahalli"
13.1006982,77.5963454,560064,Yelahanka
13.103799,77.6016167,562149,Kannur
13.106022,77.5821244,560064,Wheel And Axle Plant
13.1067289,77.59970299116564,560064,Kendriya Vihar
13.1214191,77.57086432354477,560064,CRPF Campus Yelahanka
13.1312237,77.6957681,560070,Yediyur
13.1315987,77.9027211,562130,Chikkanahalli
13.1331868,77.6687093,562149,Bagalur
13.1334356,77.9290602,562130,Tavarekere
13.1440103,77.6191241,562157,Hunasamaranahalli
13.1478621,77.5693207,560064,Singanayakanahalli
13.1691901,77.5639442,560064,Rajanakunte
13.1715801,77.6345704,562157,Chikkajala
13.1767348,77.6520502,562157,Doddajala
13.2151923,77.6667197,560067,Kannamangala
13.2923988,77.7519261,560034,"Koramangala,Koramangala VI Bk"
13.3095936,77.6600805,562107,Mayasandra
13.3352382,77.6378555,560092,Kodigehalli
