S.No.,Location,Pincode,Latitude,Longitude
0,A F Station Yelahanka,560063,,
1,Adugodi,560030,12.9428472,77.6104155
2,Agara,560034,12.6201123,77.4793074
3,Agram,560007,,
4,Air Force Hospital,560007,,
5,Amruthahalli,560092,13.0665131,77.5966238
6,Anandnagar,560024,13.033377,77.5895227
7,Anekal,562106,12.799122,77.68060437921741
8,Anekalbazar,562106,,
9,Arabic College,560045,13.0300088,77.6208657
10,Aranya Bhavan,560003,13.01061485,77.57081951019086
11,Ashoknagar,560050,12.9791198,77.5912997
12,Attibele,562107,12.7782588,77.7712834
13,Attur,560064,13.0994536,77.5680336
14,Austin Town,560047,12.9612736,77.6152935
15,Avalahalli,560026,13.0352777,77.7365655
16,Avani Sringeri Mutt,560086,,
17,Avenue Road,560002,12.9684724,77.5789181
18,B Sk II Stage,560070,,
19,Bagalgunte,560073,13.0566493,77.5048222
20,Bagalur,562149,13.1331868,77.6687093
21,Banashankari,560050,12.9152208,77.573598
22,Banashankari III Stage,560085,12.9401275,77.5508062
23,Banaswadi,560043,13.0141618,77.6518539
24,Bandikodigehalli,562149,,
25,Bangalore,560001,12.9791198,77.5912997
26,Bangalore Bazaar,560001,,
27,Bangalore City,560002,12.9791198,77.5912997
28,Bangalore Corporation Building,560002,12.9547553,77.5923087
29,Bangalore Dist Offices Bldg,560009,,
30,Bangalore Fort,560002,12.962940849999999,77.57575988493524
31,Bangalore Sub Fgn Post,560025,,
32,Bannerghatta Road,560076,12.8264929,77.5864733
33,Bapujinagar,560026,,
34,Basavanagudi,560004,12.9417261,77.5755021
35,Basavaraja Market,560002,,
36,Basaveshwaranagar,560079,12.9937572,77.5391325
37,Basaveswaranagar II Stage,560086,,
38,Bellandur,560103,12.9791198,77.5912997
39,Benson Town,560046,12.997803,77.6041749
40,Bestamaranahalli,562106,,
41,Bettahalsur,562157,,
42,Bhashyam Circle,560010,,
43,Bhattarahalli,560049,13.0258004,77.714279
44,Bidaraguppe,562107,12.8060574,77.7862873
45,Bidrahalli,560049,,
46,Bnagalore Viswavidalaya,560056,,
47,Bommanahalli,560068,12.9089453,77.6239038
48,Brigade Road,560001,12.9736132,77.6074716
49,BSF Campus Yelahanka,560064,,
50,Byatarayanapura,560092,13.062073550000001,77.59639164365345
50,Byatarayanapura,560092,13.062073550000001,77.59639164365345
51,Byatarayanapura,560026,,
52,C.V.Raman Nagar,560093,12.9856478,77.6649767
53,Cahmrajendrapet,560002,,
54,Chamrajpet,560018,12.9569966,77.5633682
55,Chamrajpet Bazar,560018,,
56,Chandra Lay Out,560040,,
57,Chickpet,560053,12.9680027,77.578642
58,Chikkabettahalli,560097,13.0895251,77.5563629
59,Chikkajala,562157,13.1715801,77.6345704
60,Chikkalasandra,560061,12.9121916,77.5476337
61,Chikkanahalli,562130,13.1315987,77.9027211
62,Chunchanakuppe,562130,12.9095576,77.386642
63,CMP Centre And School,560025,12.95825135,77.60912220089108
64,CRPF Campus Yelahanka,560064,13.1214191,77.57086432354477
65,Cubban Road,560001,,
66,Dasarahalli,560050,13.0994854,77.8361008
66,Dasarahalli,560050,13.0994854,77.8361008
67,Dasarahalli,560057,,
68,Deepanjalinagar,560026,12.95062355,77.53655376999247
69,Devanagundi,560067,,
70,Devarjeevanahalli,560045,,
71,Devasandra,560036,12.7572271,77.6472795
72,Dharmaram College,560029,12.9338349,77.60421851377467
73,Doddagubbi,562149,,
74,Doddajala,562157,13.1767348,77.6520502
75,Doddakallasandra,560062,12.8857355,77.5557448
76,Doddanekkundi,560037,12.9793573,77.6946688
77,Domlur,560071,12.9624669,77.6381958
78,Dommasandra,562125,12.8777098,77.7534769
79,Doorvaninagar,560016,,
80,Dr. Ambedkar Veedhi,560001,12.9791198,77.5912997
81,Electronics City,560100,12.8468545,77.6769267
82,Fraser Town,560005,,
83,G.K.V.K.,560065,,
84,Gaviopuram Extension,560019,,
85,Gaviopuram Guttanahalli,560019,,
86,Gayathrinagar,560021,,
87,Girinagar,560085,12.9401439,77.5444995
88,Goraguntepalya,560022,13.0284078,77.5408961
89,Goripalya,560026,12.9629437,77.5494998
90,Governmemnt Electric Factory,560026,,
91,Govindapalya,560013,,
92,Gunjur,560087,13.4279345,77.5131493
93,H M T,560013,13.0194939,77.7660515
94,H.A. Farm,560024,,
95,H.A.L II Stage,560008,,
96,H.K.P. Road,560051,,
97,Hampinagar,560104,,
98,Handenahalli,562125,12.958577,77.8477565
99,Harogadde,562106,,
100,Hebbal Kempapura,560024,13.0521017,77.6018107
101,Hennagara,562106,12.7883084,77.6733345
102,HighCourt,560001,,
103,Hongasandra,560068,12.8975365,77.62807526594204
104,Hoodi,560048,12.9919033,77.7162015
105,Horamavu,560043,13.0273312,77.6601508
106,Hosakerehalli,560085,12.9301881,77.5378332
107,Hosur Road,560030,12.93164,77.6138743
108,HSR Layout,560102,12.9116225,77.6388622
109,Hulimangala,562106,12.8188956,77.6384041
110,Hulimavu,560076,12.8773486,77.6028031
111,Hulsur Bazaar,560008,,
112,Hunasamaranahalli,562157,13.1440103,77.6191241
113,Immedihalli,560066,,
114,Indalavadi,562106,,
115,Indiranagar,560038,12.9732913,77.6404672
116,Indiranagar Com. Complex,560038,,
117,Industrial Estate,560010,12.9908787,77.70512615869652
118,ISRO Anthariksha Bhavan,560094,,
119,Ittamadu Layout,560085,,
120,J P Nagar,560078,12.9096941,77.5866067
121,J.C.Nagar,560006,15.3500091,75.1375385
122,Jakkur,560064,13.0784743,77.6068938
123,Jalahalli,560013,13.0464531,77.5483803
124,Jalahalli East,560014,13.0464531,77.5483803
125,Jalahalli Village,560013,13.0464531,77.5483803
126,Jalahalli West,560015,13.0533332,77.5306036
127,Jalavayuvihar,560043,,
128,Jayanagar,560041,12.9292731,77.5824229
129,Jayanagar West,560070,12.9292731,77.5824229
130,Jayangar East,560069,,
131,Jayangar III Block,560011,,
132,Jeevanahalli,560005,12.9954832,77.6208684
133,Jeevanbhimanagar,560066,,
134,Jigani,560105,12.7852528,77.6380931
134,Jigani,560105,12.7852528,77.6380931
135,Jigani,562106,,
136,Jp Nagar Iii Phase,560078,12.9072515,77.5782713
137,JP Nagar VIII phase,560706,12.9072515,77.5782713
138,K H B Colony,560079,,
139,K. G. Road,560009,12.9239878,77.5204576
140,K.P.West,560020,12.9791198,77.5912997
141,Kacharakanahalli,560084,12.9957647,77.814568
