Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Devasandra,12.7572271,77.6472795,XYZ burger shop,12.753187911082982,77.6425051689148,Henan Restaurant
Attibele,12.7782588,77.7712834,KARNATAKA ENTRANCE,12.77660053457275,77.77736104087053,Castle
Attibele,12.7782588,77.7712834,Hotel Sree Sagar,12.777921,77.769706,Indian Restaurant
Attibele,12.7782588,77.7712834,Shree Ranga Vilas,12.779921,77.768066,South Indian Restaurant
Attibele,12.7782588,77.7712834,Axis Bank ATM,12.77004,77.77328,ATM
"Jigani,Jigani",12.7852528,77.6380931,Apollo Pharmacy,12.7792323,77.6402962,Pharmacy
"Jigani,Jigani",12.7852528,77.6380931,State Bank of India ATM,12.77899,77.63974,ATM
"Jigani,Jigani",12.7852528,77.6380931,BonAyu Lifesciences,12.77929986490426,77.64239251613616,Health Food Store
"Jigani,Jigani",12.7852528,77.6380931,Hotel Sithara,12.77905289331167,77.64285968843006,Indian Restaurant
"Jigani,Jigani",12.7852528,77.6380931,HDFC Bank,12.780005,77.645047,ATM
Yadavanahalli,12.7898553,77.7514537,La Classic,12.783670634168706,77.75730104636754,Hotel Bar
Yadavanahalli,12.7898553,77.7514537,Ramee Guestline Hotel Bangalore,12.785596593939529,77.74379332727744,Resort
Yadavanahalli,12.7898553,77.7514537,24 Hours Coffee Drop,12.784212,77.757279,Diner
Yadavanahalli,12.7898553,77.7514537,Sk Green Paark Inn,12.787046249072013,77.74338910432219,Restaurant
Yadavanahalli,12.7898553,77.7514537,Its Mirchi - Ramee Guest Line Hotel,12.785818,77.743707,Diner
Anekal,12.799122,77.68060437921741,Axis Bank ATM,12.79513,77.68117,ATM
Anekal,12.799122,77.68060437921741,Axis Bank ATM,12.79872,77.68583,ATM
Bidaraguppe,12.8060574,77.7862873,Fabricspa,12.805736,77.78535,Dry Cleaner
Bidaraguppe,12.8060574,77.7862873,Apollo Pharmacy,12.811385,77.783521,Pharmacy
Hulimangala,12.8188956,77.6384041,Domino's Pizza,12.817,77.638,Pizza Place
Bannerghatta Road,12.8264929,77.5864733,Confident Cascade,12.821097333939624,77.58636911893254,Resort
Electronics City,12.8468545,77.6769267,TCS Think Campus,12.847598224906433,77.6791380938702,Coworking Space
Electronics City,12.8468545,77.6769267,TCS Think Campus Ground,12.848343641377438,77.67926678752525,Basketball Court
Electronics City,12.8468545,77.6769267,Coffee Day Xpress,12.848826839267772,77.67894642513268,Café
Electronics City,12.8468545,77.6769267,"Mint-The Kitchen, Think Campus.",12.848941327230767,77.6789602817386,Vegetarian / Vegan Restaurant
Electronics City,12.8468545,77.6769267,Foodies Express,12.847622629612248,77.68072608901532,Diner
Electronics City,12.8468545,77.6769267,Hyderabadi Magic,12.852751,77.6756,Hyderabadi Restaurant
Electronics City,12.8468545,77.6769267,Huskur Gate,12.839797187562057,77.67719780157307,Bus Stop
Sarjapura,12.8600866,77.7861352,Ravi Theatre,12.8587885,77.783615,Movie Theater
Sarjapura,12.8600866,77.7861352,Atithi Sagar,12.86071965142956,77.77936662347174,Fast Food Restaurant
Sarjapura,12.8600866,77.7861352,Dmart,12.861114,77.7777,Department Store
Sarjapura,12.8600866,77.7861352,Festo Hyper Market,12.861053,77.777245,Supermarket
Mount St Joseph,12.8684124,77.59082130918499,Swensens,12.876071367527341,77.59554190286784,Ice Cream Shop
Mount St Joseph,12.8684124,77.59082130918499,Cinepolis,12.876119022912667,77.5954554873148,Multiplex
Mount St Joseph,12.8684124,77.59082130918499,Amoeba,12.876073339647956,77.59552145317512,Bowling Alley
Mount St Joseph,12.8684124,77.59082130918499,The Pint Room,12.875989181614791,77.59560191084213,Beer Garden
Mount St Joseph,12.8684124,77.59082130918499,Cinepolis Audi - 6,12.876054780483328,77.5955712354189,Multiplex
Mount St Joseph,12.8684124,77.59082130918499,Cafe Coffee Day,12.875987398706526,77.59558566653209,Café
Mount St Joseph,12.8684124,77.59082130918499,Royal Meenakshi Mall,12.876093387219726,77.59547934754069,Shopping Mall
Mount St Joseph,12.8684124,77.59082130918499,TGI Fridays,12.875704527010498,77.59508780978389,American Restaurant
Mount St Joseph,12.8684124,77.59082130918499,Grasshopper,12.86404050978269,77.59004509702267,Italian Restaurant
Mount St Joseph,12.8684124,77.59082130918499,Rajdhani,12.875734834908371,77.59536743272606,Rajasthani Restaurant
Mount St Joseph,12.8684124,77.59082130918499,Kalmane Koffees,12.876041521744403,77.59550777620548,Café
Mount St Joseph,12.8684124,77.59082130918499,Intalia,12.876084981635836,77.59552375472182,Italian Restaurant
Mount St Joseph,12.8684124,77.59082130918499,Barista Lavazza,12.87608039549676,77.59557720117378,Café
Mount St Joseph,12.8684124,77.59082130918499,Croma,12.876043796040257,77.5955380063035,Electronics Store
Mount St Joseph,12.8684124,77.59082130918499,McDonald's,12.876004039267125,77.59558185286112,Fast Food Restaurant
Mount St Joseph,12.8684124,77.59082130918499,Max,12.87600407935001,77.59562405645968,Clothing Store
Mount St Joseph,12.8684124,77.59082130918499,Health n Glow,12.875923533168478,77.59557723999023,Cosmetics Shop
Hulimavu,12.8773486,77.6028031,Swensens,12.876071367527341,77.59554190286784,Ice Cream Shop
Hulimavu,12.8773486,77.6028031,Cinepolis,12.876119022912667,77.5954554873148,Multiplex
Hulimavu,12.8773486,77.6028031,Ingu Tengu,12.88326792286104,77.6075135133043,South Indian Restaurant
Hulimavu,12.8773486,77.6028031,Amoeba,12.876073339647956,77.59552145317512,Bowling Alley
Hulimavu,12.8773486,77.6028031,The Pint Room,12.875989181614791,77.59560191084213,Beer Garden
Hulimavu,12.8773486,77.6028031,Cinepolis Audi - 6,12.876054780483328,77.5955712354189,Multiplex
Hulimavu,12.8773486,77.6028031,Simply Indian,12.879522855385888,77.60974757680994,Indian Restaurant
Hulimavu,12.8773486,77.6028031,Cafe Coffee Day,12.875987398706526,77.59558566653209,Café
Hulimavu,12.8773486,77.6028031,Domino's Pizza,12.885,77.604,Pizza Place
Hulimavu,12.8773486,77.6028031,Royal Meenakshi Mall,12.876093387219726,77.59547934754069,Shopping Mall
Hulimavu,12.8773486,77.6028031,TGI Fridays,12.875704527010498,77.59508780978389,American Restaurant
Hulimavu,12.8773486,77.6028031,Rajdhani,12.875734834908371,77.59536743272606,Rajasthani Restaurant
Hulimavu,12.8773486,77.6028031,Kalmane Koffees,12.876041521744403,77.59550777620548,Café
Hulimavu,12.8773486,77.6028031,Intalia,12.876084981635836,77.59552375472182,Italian Restaurant
Hulimavu,12.8773486,77.6028031,Big Bazaar,12.876129683669557,77.59561586079359,Supermarket
Hulimavu,12.8773486,77.6028031,Seed Cafe & Momo Adda,12.883400199530042,77.60548967853308,Dumpling Restaurant
Hulimavu,12.8773486,77.6028031,Shoppers Stop,12.875724969099693,77.59925640740242,Department Store
Hulimavu,12.8773486,77.6028031,Guru Palace,12.876641113476484,77.59547638509554,Dive Bar
Hulimavu,12.8773486,77.6028031,Barista Lavazza,12.87608039549676,77.59557720117378,Café
Hulimavu,12.8773486,77.6028031,McDonald's,12.876004039267125,77.59558185286112,Fast Food Restaurant
Hulimavu,12.8773486,77.6028031,Croma,12.876043796040257,77.5955380063035,Electronics Store
Hulimavu,12.8773486,77.6028031,Max,12.87600407935001,77.59562405645968,Clothing Store
Hulimavu,12.8773486,77.6028031,Cinepolis - Audi 4,12.876418828137721,77.5963634706781,Movie Theater
Hulimavu,12.8773486,77.6028031,Cinepolis - Audi 1,12.877943834174463,77.59596617570477,Movie Theater
Hulimavu,12.8773486,77.6028031,Chai Point,12.875992,77.59579,Tea Room
Hulimavu,12.8773486,77.6028031,Mamacita,12.876007205623536,77.59570598602295,Mexican Restaurant
Hulimavu,12.8773486,77.6028031,Show Off,12.876069959946506,77.59568452835083,Clothing Store
Hulimavu,12.8773486,77.6028031,Mother Earth,12.876350621954384,77.59555209213174,Boutique
Hulimavu,12.8773486,77.6028031,Krishna Kuteer,12.878848,77.60997,South Indian Restaurant
Hulimavu,12.8773486,77.6028031,Aharam - The Food Court,12.876031298655077,77.59552940670065,Fast Food Restaurant
Hulimavu,12.8773486,77.6028031,Amma's Pastries,12.879938,77.60983,Bakery
Hulimavu,12.8773486,77.6028031,Reliance Digital,12.879269193843411,77.59550417862826,Electronics Store
Hulimavu,12.8773486,77.6028031,Amul Scooping Parlour,12.876400020215383,77.61051968831009,Ice Cream Shop
Hulimavu,12.8773486,77.6028031,Daily Bread,12.882714323075927,77.59598296284462,Bakery
Hulimavu,12.8773486,77.6028031,Bata,12.883462086471493,77.59622357824135,Sporting Goods Shop
Hulimavu,12.8773486,77.6028031,Kabab Magic,12.882240096262503,77.59602213282785,Indian Restaurant
Dommasandra,12.8777098,77.7534769,Optic Nest,12.881807,77.75643,Optical Shop
Dommasandra,12.8777098,77.7534769,Mayura bakery,12.883869171142578,77.75135040283203,Bakery
Dommasandra,12.8777098,77.7534769,Fabricspa,12.884407,77.749755,Dry Cleaner
Dommasandra,12.8777098,77.7534769,Amity Mart,12.880108,77.760925,Supermarket
Dommasandra,12.8777098,77.7534769,Mugabu Sports Arena,12.86995,77.754178,Athletics & Sports
Dommasandra,12.8777098,77.7534769,Dommasandra,12.879435137238442,77.76191292473773,Bus Station
Dommasandra,12.8777098,77.7534769,Bosch DIY Square,12.88599967956543,77.75126647949219,Hobby Shop
Konanakunte,12.8792861,77.5697529,bhatru chats,12.883639335632324,77.57010650634766,Indian Restaurant
Konanakunte,12.8792861,77.5697529,Reliance Fresh,12.882915464627487,77.56618186320381,Department Store
Konanakunte,12.8792861,77.5697529,Surabhi Restaurant,12.885096292465297,77.56726211527199,Indian Restaurant
Konanakunte,12.8792861,77.5697529,Kothnur,12.876477241516113,77.57694244384766,Bus Station
