Pincode,Latitude,Longitude,Location
600001,13.101640633333332,80.2852611,"Mannady,Monegar Choultry,Seven Wells"
600002,13.087211233333335,80.211609,"Anna Road H O,Government Estate,Pudupet"
600003,10.1388900625,86.16903268120518,"Central Station,Madras Medical College,Park Town,Ripon Buildings"
600004,13.038555733333334,80.2691617,"Luz Church Road,Royapettah High Road,Santhome"
600005,13.038982875,80.25261247647028,"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil"
600006,13.056575625,80.25079941443467,"Cathedral,Greams Road,Shastri Bhavan,Teynampet West"
600007,13.0842952,80.2622738,Vepery
600008,13.073820099999999,80.25574565,"Egmore,Egmore High Road"
600009,13.0801721,80.2838331,Fort St George
600010,13.08699932,80.23295474,"Kilpauk,Kilpauk Medical College,Kilpauk West,Medavakkam Tank Road,New Avadi Road"
600011,13.112356400000001,80.2429547,"Perambur,Perambur North,Sembiam"
600012,13.101489860000001,80.2595588,"Kosapet,Perambur Barracks,Perambur High Road,Pulianthope,Venkatesapuram"
600013,13.116501499999998,80.28636706666667,"Kalmandapam,Rayapuram Madras,Rayapuram Market"
600014,12.98139105,80.25314455,"Pudupakkam,Royapettah,Triplicane South"
600015,13.020817,80.2239536,"Saidapet Madras,Saidapet West"
600016,12.9948658,80.19699925,"Alandur,St Thomas Mount H O"
600017,13.042169099999999,80.23385241067942,"Habibullah Road,Hindi Prachar Sabha,Panagal Park,Usman Road"
600018,13.03859595,80.247707975,"Chamiers Road,Eldams Road,Teynampet,Teynampet South"
600019,13.1563873,80.3005279,"Tiruvottiyur,Tiruvottiyur North,Tiruvottiyur West"
600020,13.02367043,80.2338601904527,"Adyar,Central Leather Research,Gandhi Nagar,Indra Nagar,Theosophical Society"
600021,13.1153653,80.28494755,"Cemetry Road,Korukkupet"
600023,13.0678373,80.20884914999999,"Ayanavaram,Solai Street"
600024,13.049453766666666,80.2201486,"Arcot Road,Kodambakkam,Kodambakkam West"
600026,13.0509304,80.2120661,Vadapalani
600027,12.9846976,80.1750925,Minambakkam
600031,13.07512315,80.25852315,"Harrington Road,Service Centre"
600032,13.009191066666666,80.20437533333335,"Alandur North,Guindy Ind Estate,Madras Race Course"
600033,13.03966854,80.22577896,"Kumaran Nagar,Mambalam East,Mambalam R S,Mettupalayam,West Mambalam"
600034,13.05740295,80.24567695,"Nungambakkam,Nungambakkam High Road"
600035,13.0286286,80.240256,Nandanam
600038,13.0408638,80.25254475,I C F Colony
600041,12.9889822,80.2515865,Tiruvanmiyur
600042,12.9879107,80.2231951,Velacheri
600043,12.965466900000001,80.1451178,"Pallavaram,Pallavaram North,Pallavaram South"
600044,12.650328133333334,80.0761108,"Bharathipuram,Chromepet,Radhanagar"
600045,12.9265148,80.1314526,Tambaram West
600048,12.8921486,80.0829603,Vandalur
600049,13.112587499999998,80.2081378,"Villivakkam,Villivakkam North,Villivakkam South"
600050,13.1035851,80.1920425,"Padi,Padi South"
600051,13.1554081,80.2425246,Madhavaram Milk Colony
600052,13.1778195,80.2344831,Red Hills
600053,13.116676,80.1518425,"Ambattur H O,Ambattur West"
600054,13.1254758,80.09409,Avadi
600056,13.0611992,80.1378656,"Poonamallee,Poonamallee East"
600057,13.1893545,80.3111383,Ernavur
600059,13.001050574999999,80.1851998920702,"Christian College,Ganapathipuram,Railway Colony,Tambaram East"
600060,13.146661533333335,80.24224943333333,"Madhavaram,Madhavaram East,Moolakadai"
600061,13.0012541,80.1957234,Nanganallur Bazaar
600064,12.9330984,80.1413832,Chitlapakkam
600068,13.1672275,80.2598107,Manali Madras
600070,13.0281821,80.1460754,Anakaputhur
600072,13.1222511,80.0624155,"Pattabiram,Pattabiram East"
600073,12.9269402,80.1146503,Selaiyur
600075,12.9737938,80.1408,Pammal
600076,13.1115392,80.1842767,Korattur R S
600078,12.9835279,80.1567029,K K Nagar
600079,13.0801721,80.2838331,Sowcarpet
600080,13.1115392,80.1842767,Korattur
600082,15.278024649999999,79.36235046220878,"Agaram,Jawahar Nagar"
600083,13.0400731,80.2159247,Ashok Nagar
600085,13.0185768,80.2413141,Kottur Madras
600086,13.0497324,80.2582028,Gopalapuram
600088,12.980816449999999,80.23364145,"Adambakkam,Ganesh Nagar"
600090,12.9996907,80.2682259,Besant Nagar
600091,12.9611348,80.2001292,Madipakkam
600092,13.0475434,80.1922181,"Virugambakkam,Virugambakkam North"
600093,13.0583406,80.1985327,"Saligramam,Saligramam South"
600094,13.0623344,80.2254012,Choolaimedu
600096,12.9710239,80.2418051,Perungudi
600098,13.01407,80.2091208,Sidco Estate
600103,13.1672275,80.2598107,Manali New Town
600106,13.074371,80.2081312,Arumbakkam
600107,13.0720236,80.1980375,Koyambedu
600108,13.0962367,80.2864133,Broadway
600112,13.0906283,80.2621417,Choolai
600113,12.9849067,80.2404069,Taramani
