Location,Pincode,Latitude,Longitude
Abiramapuram,600018,,
Adambakkam,600088,12.9822215,80.209121
Adyar,600020,13.00645,80.2577791
Agaram,600082,13.1158603,80.2300407
Alandur,600016,12.9943729,80.1942837
Alandur North,600032,12.9943729,80.1942837
Alwar Tirunagar,600087,,
Ambattur Bazaar,600053,,
Ambattur H O,600053,13.1139774,80.1529202
Ambattur Industrial Estat,600058,,
Ambattur West,600053,13.1193746,80.1507648
Aminijikarai,600029,,
Anakaputhur,600070,13.0281821,80.1460754
Angappanaicken Street,600001,,
Anna Road H O,600002,13.1207974,80.0948305
Annamalaipuram,600028,,
Annanagar,600040,,
Annanagar East,600102,,
Annanagar Western Extn,600101,,
Annaroad Sourth,600002,,
Arcot Road,600024,13.0499473,80.21188
Arumbakkam,600106,13.074371,80.2081312
Ashok Nagar,600083,13.0400731,80.2159247
Ashtabujam Road,600112,,
Avadi,600054,13.1254758,80.09409
Avadi Air Force Quarters,600055,,
Avadi Camp H O,600054,,
Avadi Iaf,600055,,
Ayanavaram,600023,13.0946157,80.23541
Ayanavaram Rly Colony,600023,,
Besant Nagar,600090,12.9996907,80.2682259
Besantnagat South,600090,,
Bharathipuram,600044,11.9211282,79.8088573
Broadway,600108,13.0962367,80.2864133
Bullion Market,600079,,
Butt Road,600016,,
C-In-C Road,600105,,
Cathedral,600006,13.0518669,80.25307675773865
Cemetry Road,600021,13.1091962,80.2861039
Central Institute Of Tech,600020,,
Central Leather Research,600020,13.00901045,80.24402541888409
Central Station,600003,1.30640155,103.85157921598358
Central Vehicle Depot,600055,,
Central Vehicle Research,600054,,
Chamiers Road,600018,13.0317092,80.2411957
Chepauk,600005,13.06363,80.2812779
Chetput H O,600031,,
Chinnaiah Mudali Colony,600011,,
Chintadripeta,600002,,
Chitlapakkam,600064,12.9330984,80.1413832
Choolai,600112,13.0906283,80.2621417
Choolaimedu,600094,13.0623344,80.2254012
Choolaimedu Mdo,600094,,
Christian College,600059,13.069374100000001,80.24879939435529
Chromepet,600044,12.9496841,80.135642
Crp Camp,600065,,
D G Vaishnav College,600106,,
Decoster Road,600012,,
Defence Officers Colony,600097,,
Dr Ambedkarnagar,600003,,
Edapalayam,600003,,
Egmore,600008,13.0728321,80.2576906
Egmore High Road,600008,13.0748081,80.2538007
Ekkaduthangal,600032,,
Eldams Road,600018,13.0386581,80.2525054
Engineering College Directorat,600025,,
Ennur R S,600057,,
Ennur Thermal Station,600057,,
Ernavur,600057,13.1893545,80.3111383
Flower Bazar,600001,,
Flowers Road,600084,,
Fore Shore Estate,600028,,
Fort St George,600009,13.0801721,80.2838331
Ganapathipuram,600059,13.0149394,80.1879609
Gandhi Nagar,600020,13.0582742,80.2078872
Ganesh Nagar,600088,12.9794114,80.2581619
Gaugadeeswaran Koil,600084,,
Gollawar Agraharam Road,600021,,
Gopalapuram,600086,13.0497324,80.2582028
Goudiyamath Road,600014,,
Government Estate,600002,13.0696345,80.2730362
Govt Stanely Hospital,600001,,
Greams Road,600006,13.0610354,80.2544849
Ground Training School,600046,,
Guindy Ind Estate,600032,13.0246912,80.2083856
Gunidy North,600015,,
Habibullah Road,600017,13.0515564,80.2311738
Harinarayanapuram,600021,,
Harrington Road,600031,13.0700742,80.2332132
High Court Buildings,600104,,
Hindi Prachar Sabha,600017,13.03454975,80.23900123308624
Hindustan Teleprinters,600032,,
I C F Colony,600038,13.0408638,80.25254475
Indian Inst Of Technology,600036,,
Indra Nagar,600020,13.0370335,80.1887333
Jaffarkhanpet,600095,,
Jam Bazaar,600014,,
Jawahar Nagar,600082,17.440189,78.49466022441756
K K Nagar,600078,12.9835279,80.1567029
Kadirvedu,600066,,
Kaladipet,600019,,
Kalignar Karunanidhinagar,600078,,
Kalinga Colony,600078,,
Kalmandapam,600013,13.1153041,80.2908714
Kamarajanagar,600071,,
Kasimode,600013,,
Kasturbanagar,600020,,
Kilpauk,600010,13.0832149,80.2379864
Kilpauk Garden Colony,600010,,
Kilpauk Medical College,600010,13.0785984,80.2433369
Kilpauk West,600010,13.0832149,80.2379864
Kodambakkam,600024,13.049207,80.2242829
Kodambakkam West,600024,13.049207,80.2242829
Kolathur-Cpt,600099,,
Korattur,600080,13.1115392,80.1842767
Korattur R S,600076,13.1115392,80.1842767
Korukkupet,600021,13.1215344,80.2837912
Kosapet,600012,13.0939346,80.2547909
Kothwal Market,600001,,
Kottur Gram,600085,,
Kottur Madras,600085,13.0185768,80.2413141
Koyambedu,600107,13.0720236,80.1980375
Krishnampet,600005,,
