Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Mannady,Monegar Choultry,Seven Wells",13.101640633333332,80.2852611,Royapuram Railway Station,13.103658264896644,80.28898149026057,Train Station
"Mannady,Monegar Choultry,Seven Wells",13.101640633333332,80.2852611,Whashermanpet Railway Station,13.108228127478123,80.28365332432685,Train Station
"Mannady,Monegar Choultry,Seven Wells",13.101640633333332,80.2852611,kabab center,13.10580439583518,80.29089715322934,Fast Food Restaurant
"Mannady,Monegar Choultry,Seven Wells",13.101640633333332,80.2852611,Big Bazaar,13.1095865467695,80.28439351863636,Department Store
"Mannady,Monegar Choultry,Seven Wells",13.101640633333332,80.2852611,Hotel Pandia's,13.107839298839668,80.29113292694092,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Anna Nagar Tower Park,13.086571414111077,80.21362675131819,Park
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,99°F Fitness Studio,13.084922723241998,80.21134291150264,Gym
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Shankar Chat Bhandar,13.086592572118786,80.21025280315361,Snack Place
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Kumarakom,13.090401733917103,80.21270073543928,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Subway,13.082454635954866,80.2109266216941,Sandwich Place
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Cream Centre,13.090306306504191,80.2163174087344,Vegetarian / Vegan Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Starbucks,13.084861487903575,80.21244748723835,Coffee Shop
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,amala mess,13.085721994201617,80.20853259195002,Fast Food Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,The Cascade,13.084094261511387,80.21009875846887,Chinese Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Murugan Idly Shop,13.082277193707585,80.21433116077928,South Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Kimling Restaurant,13.08481623756076,80.21259874156041,Chinese Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Creamy Inn,13.082427210490554,80.21219928632183,Ice Cream Shop
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,French Loaf,13.088752111676639,80.21276376708472,Bakery
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Coco Jaunt,13.09031815395156,80.2174998313336,Café
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Fruit Shop,13.0823041798555,80.2145657665889,Juice Bar
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Shree Mithai - Divine Restaurant,13.08237574819451,80.21201258365716,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Shri Rajasthani Dhaba,13.084971809130494,80.20405017139213,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Mochi,13.082413854583868,80.21099030316104,Shoe Store
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,The Grand Sweets & Snacks,13.08444570471752,80.20554588836983,Indian Sweet Shop
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Nuts 'n' Spices,13.091817307721067,80.21029849436141,Department Store
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Karthick Tiffin Center,13.082098550055784,80.20960667994244,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Savoury Sea Shell,13.087539008843267,80.2181757062574,Middle Eastern Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Jack 'N' Jill,13.092006463407827,80.21038781013196,Fast Food Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Kettle,13.084229934935143,80.20798818748301,American Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Pantry D'Or,13.092121861671432,80.21889259135332,Café
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Bakers Cottage,13.092298823329665,80.21567951356258,Bakery
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Double Roti,13.08229015580582,80.21273314287771,Burger Joint
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,McDonald's,13.084761870949848,80.21714495139875,Fast Food Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Ooty Vegetable & Fruits,13.089660608482129,80.21036113867754,Market
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Quality Fast Food,13.090325720372595,80.21860578478403,Fast Food Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Dindugal Thalapakatti,13.082505406456862,80.2095522061275,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,4 Seasons Restaurant,13.084709324476217,80.21516870878847,Asian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Junior Kuppanna,13.087695911525818,80.21807148730474,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Saravana Bhavan,13.085040465835968,80.21034251172765,Vegetarian / Vegan Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,KFC,13.085188265104689,80.20407753973453,Fast Food Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Wangs Kitchen,13.087374079805704,80.21788629463273,Chinese Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Falafel,13.082593160249305,80.21069677142084,BBQ Joint
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Sree Akshayam,13.082522137773958,80.20866511607517,Vegetarian / Vegan Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Max Fashion,13.084724002418396,80.21419139944805,Clothing Store
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Kovai Pazhamudhir Nilayam,13.083618897881296,80.21013665764451,Farmers Market
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Adyar Anandha Bhavan,13.085144066414454,80.20358836981084,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Penguin Xerox,13.084323087379492,80.21767642687554,Paper / Office Supplies Store
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Hot Chips,13.085139562369374,80.20307978802975,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Domino's Pizza,13.090410008081266,80.21842745344286,Pizza Place
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,TOVO Canteen,13.085225084120893,80.2033583062353,New American Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Hi-Style,13.085057818172457,80.20869594122937,Clothing Store
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Santosh Supermarket,13.085066313879013,80.20602683310267,Department Store
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Cafe Coffee Day,13.09198608269295,80.21038565168492,Coffee Shop
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Connexions,13.086318280439828,80.21541774822072,Bookstore
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Ibaco Ice Creams,13.083853782111056,80.21003634399491,Ice Cream Shop
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Little hut,13.09266931114294,80.20635649528342,Fast Food Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Gangotree Sweets and Snacks,13.0822939271415,80.21501753889085,Vegetarian / Vegan Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,The Brick House Bistro,13.090531,80.215706,Bistro
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Anna Nagar Towers Club,13.085828541288436,80.21499941514993,Hotel Bar
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Reliance Digital Express,13.08475622625922,80.21334255311366,Electronics Store
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Ambur Star Biryani,13.088636125596388,80.21100462916965,Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Zameendar Multicuisine Restaurant,13.082727472168346,80.20393032113724,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Wonton,13.082519308582606,80.21803581016984,Chinese Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Nalas Appakadai,13.088268490386481,80.21799072379885,Indian Restaurant
